Venue,Capacity
Terminal 5,3000
Mercury Lounge,250
Music Hall of Williamsburg,550
Webster Hall,1500
Hammerstein Ballroom,3500
Le Poisson Rouge,700
Radio City Music Hall,6015
Bowery Ballroom,575
Irving Plaza,1025
Cake Shop,125
Highline Ballroom,700
Santos Party House,570
Warsaw,700
Glasslands,300
285 Kent Ave,350
